year,Belgium,France,Germany,Italy,Poland,Spain
2017,502764720556,2595151045198,3690849152518,1961796197354,526508877305,1312539279462
2018,543347368038,2790956878747,3977289455388,2091932426267,587411745162,1420994142512
2019,535376258147,2728870246706,3888326788627,2011285742552,597280564672,1393046093137
2020,521676942135,2630317731455,3846413928654,1892574064222,596624355720,1281484640044
2021,599879025378,2937472757953,4223116205969,2099880198259,674048266397,1425276586283
